name,image_url,design_color_id,typical_beer_id,alcohol_level,user_id,beer_family_id
Saint Feuillien Blonde 33cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/6fe21e06fff7bda240d865c3b58b1f71f900dbd2_BBO032104_1.png,3,48,7.5,2,3
Queue de Charrue Blonde 75cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/2c3b7e7358b89b8c68d724944f3ce4542761ff36_BBO032088_1.png,3,48,6.6,2,3
Pater Lieven Blonde  33cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/ddd367b1b67ea22da0a6d24fbff426d79972d8d5_BBO032056_1.png,3,48,6.5,2,3
Palm 25cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/e94cc2e101698989b0e6be017cd38f701a2c5c19_BBO032078_1.png,5,48,5.2,2,3
Kapittel Watou Blonde 33cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/df9ef35d5b55738e5d87b5b3fe63bc1287becf4b_BBO032128_1.png,3,48,6.5,2,3
Palm Royale 33 cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/0983f423f62e247c0beb8a4178751c0be6762acc_BBO032055_1.png,3,48,7.5,2,3
Super Des Fagnes Blonde,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/06f05a967d2979ea9b6353440a28a788b5437633_BBO032116_1.png,3,48,7.5,2,3
Page 24 Blonde Hildegarde 33 cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/296fce0b0e1d22830622ddd89cc488fe88d6b9db_BBO032054_1.png,3,48,6.9,2,3
Queue de Charrue Blonde 33cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/b5ed88e5b0c67a68ab8bc28a4cb03ca846246936_BBO032089_1.png,3,48,6.6,2,3
Tongerlo Lux 33 cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/fbefa14ed66c040f9cf72385656b9430bacb4aaf_BBO032123_1.png,3,48,6,2,3
Tripick 6 Blonde,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/1556f2d3f3b5509e68d53ffbf7bb8c6b985a4c2a_BBO033150_1.png,3,48,6,2,3
Chimay Dorée 33 cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/5c2184526f2996562f938411e96e10e3075361e5_BBO030456_1.png,3,48,4.8,2,3
La Trappe Blonde 75cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/5cc07c8e78763900eb573d5c72f46a5d7b66de6b_BBO032010_1.png,3,48,6.5,2,3
Averbode 33 cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/b0dded212c83edd1025b0f46d55a75c8d7365add_BBO030177_1.png,3,48,7.5,2,3
Hommelbier 25cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/c30296895eed446ac84a52b58df844d3d2f23969_BBO031985_1.png,3,48,7.5,2,3
Chouffe Soleil 33cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/f3b610538b6cacc3dcb7fd0b2710f73534e31c2e_BBO030465_1.png,3,48,6,2,3
Gauloise Blonde 33 cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/12cb3be22c131c086794353f9fc5a1214eb5916b_BBO031965_1.png,3,48,6.3,2,3
La Trappe Isid'Or 33 cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/a2d381c2f38f359eb8080b3c1171dd613231af46_BBO032029_1.png,5,48,7.5,2,3
La Trappe Blonde 33cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/e4c9b54cf070b3d635c6547de83e019ae6e07259_BBO032009_1.png,3,48,6.5,2,3
Grisette Blonde 25 cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/8c3ef813aa8f97025733fad4c9edc38479a15071_BBO031969_1.png,3,48,5.5,2,3
