name,image_url,user_id,beer_family_id,typical_beer_id
Thiriez | L'Étoile du Nord Saison houblonnée | 33 cl,https://bieronomy.com/21390-home_default/thiriez-l-etoile-du-nord-saison-houblonnee-33-cl.jpg,2,3,51
Dupont Saison Dupont Biologique 75 cl,https://bieronomy.com/23126-home_default/dupont-saison-dupont-biologique-75-cl.jpg,2,3,51
Chimay Rouge Première Belgian Dubbel 75 cl Abbaye de Scourmont,https://bieronomy.com/13891-home_default/chimay-rouge-premiere-belgian-dubbel-75-cl-abbaye-de-scourmont.jpg,2,3,53
Trappistes Rochefort 6 Belgian Dubbel 33 cl,https://bieronomy.com/13918-home_default/trappistes-rochefort-6-belgian-dubbel-33-cl.jpg,2,3,53
Thiriez - L'Ambrée d'Esquelbecq Bio 33 cl,https://bieronomy.com/21392-home_default/thiriez-l-ambree-d-esquelbecq-bio-33-cl.jpg,2,3,50
De Ranke Guldenberg Belgian Tripel 33 cl,https://bieronomy.com/13903-home_default/de-ranke-guldenberg-belgian-tripel-33-cl.jpg,2,3,54
Chimay Triple Belgian Tripel 33 cl Abbaye de Scourmont,https://bieronomy.com/13892-home_default/chimay-triple-belgian-tripel-33-cl-abbaye-de-scourmont.jpg,2,3,54
Trappistes Rochefort Belgian Strong Dark Ale 8 33 cl,https://bieronomy.com/14099-home_default/trappistes-rochefort-belgian-strong-dark-ale-8-33-cl.jpg,2,3,77
Thiriez - Les Québécoises Blonde au Froment 33 cl,https://bieronomy.com/21408-home_default/thiriez-les-quebecoises-blonde-au-froment-33-cl.jpg,2,3,50
De Ranke XX Bitter Belgian IPA 33 cl,https://bieronomy.com/13902-home_default/de-ranke-xx-bitter-belgian-ipa-33-cl.jpg,2,3,69
Chimay Cinq Cents Belgian Tripel 75 cl Abbaye de Scourmont,https://bieronomy.com/13893-home_default/chimay-cinq-cents-belgian-tripel-75-cl-abbaye-de-scourmont.jpg,2,3,54
Thiriez - La Thiriez Bio Blonde 33 cl,https://bieronomy.com/21048-home_default/thiriez-la-thiriez-bio-blonde-33-cl.jpg,2,3,48
Thiriez - La Thiriez Triple Bio 75 cl,https://bieronomy.com/21407-home_default/thiriez-la-thiriez-triple-bio-75-cl.jpg,2,3,54
St Bernardus Abt 12 Belgian Quadrupel 33 cl,https://bieronomy.com/23234-home_default/st-bernardus-abt-12-belgian-quadrupel-33-cl.jpg,2,3,77
Thiriez - La Thiriez Bio Blonde 75 cl,https://bieronomy.com/21405-home_default/thiriez-la-thiriez-bio-blonde-75-cl.jpg,2,3,48
Dupont Moinette Blonde 33 cl,https://bieronomy.com/23124-home_default/dupont-moinette-blonde-33-cl.jpg,2,3,48
De Ranke - Saison de Dottignies 33 cl,https://bieronomy.com/23919-home_default/de-ranke-saison-de-dottignies-33-cl.jpg,2,3,51
St. Bernardus Abt 12 75 cl,https://bieronomy.com/10964-home_default/st-bernardus-abt-12-75-cl.jpg,2,3,77
Het Anker Gouden Carolus Cuvée van de Keizer Imperial Blond 75 cl,https://bieronomy.com/12922-home_default/gouden-carolus-cuvee-van-de-keizer-imperial-blond-75-cl-het-anker.jpg,2,3,50
Dupont Moinette Blonde 75 cl,https://bieronomy.com/23123-home_default/dupont-moinette-blonde-75-cl.jpg,2,3,48
De Ranke - Saison de Dottignies 75 cl,https://bieronomy.com/23918-home_default/de-ranke-saison-de-dottignies-75-cl.jpg,2,3,51
St Bernardus Pater 6 Belgian Dubbel 33 cl,https://bieronomy.com/13927-home_default/st-bernardus-pater-6-belgian-dubbel-33-cl.jpg,2,3,53
Gouden Carolus Cuvée van de Keizer Imperial Dark 75 cl Het Anker,https://bieronomy.com/13880-home_default/gouden-carolus-cuvee-van-de-keizer-imperial-dark-75-cl-het-anker.jpg,2,3,77
Dupont Moinette Brune 33 cl,https://bieronomy.com/23125-home_default/dupont-moinette-brune-33-cl.jpg,2,3,77
Pays Flamand - Bracine Triple 33 cl,https://bieronomy.com/24288-home_default/pays-flamand-bracine-triple-33-cl.jpg,2,3,54
St Bernardus Prior 8 Belgian Dubbel 33 cl,https://bieronomy.com/13925-home_default/st-bernardus-prior-8-belgian-dubbel-33-cl.jpg,2,3,53
