name,image_url,design_color_id,typical_beer_id,alcohol_level,user_id,beer_family_id,heroku 
Rochefort 10 33cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/ae9864bc78ebbb14c85f6f3ea03b51b6db39a873_BBO032092_1.png,7,77,11.3,2,19,
Saint Bernardus Abt 12 33 cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/69e7aad6f1f0fcdc5ab1917a8fe2a2b88104ba85_BBO032100_1.png,7,77,10,2,19,
Straffe Hendrik Quadruppel 33 cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/fb41d2fbcb6538fe5976ecb06e20592f213acacc_BBO032631_1.png,7,77,11,2,19,
La Trappe Quadrupel 33 cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/2a8fb5abee2efd3a6790433a427596ee1e3461cb_BBO032012_1.png,7,77,10,2,19,
Gulden Draak 9000 33 cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/017c987b0a9e1be78e10f9258420c9ffc10514f9_BBO031979_1.png,5,77,10.5,2,19,
Kasteel Barista 33 cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/ca2d6c3bd6addee7c5215b3e1f0dc4f8b602eeb5_BBO033737_1.png,1,77,11,2,19,
Smoke on the Water 33cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/50ce9d028cc1e03dadd08d65160a04432988bf44_BBO033003_1.png,3,14,6,2,16,
Aecht Schlenkerla Rauchbier Märzen 50 cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/16a464a2daab688d1b0d72b8d10fb02ab9efab17_BBO030131_1.png,1,14,5.1,2,16,
Yule Christmas Ale 33 cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/5608b071dcac9e7e1701b32aaee0c60d8ae3dae2_BCA044369_1.png,5,62,6.8,2,4,
Rodenbach Grand Cru 33cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/71d57617a390cc737cd0fcdde9f3d78dc9192e28_BBO032094_1.png,7,62,6,2,4,
Rodenbach Classic 25cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/c9d9c9a3801669d8c157dbe88a912a695afe4e79_BBO032093_1.png,7,62,5.2,2,4,
Kilkenny 33 cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/95193f644a71ba8a71d11bfacd53a254388179ae_BBO031998_1.png,11,62,4.2,2,4,
Un Poisson Nommé Passion 33 cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/32f4738f3a8db3476e2a66f50d867f3de1c19b8e_BBO044290_1.png,3,51,6,2,3,
Trêve 75 cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/5bf0d0fa6ebc9a02210475f35d8c0ac1ee80f92f_BBO043933_1.png,3,51,5.4,2,3,
